$ Get data for 1159:WA:SNTL...
$ OH Datacard Time Series created at 03-02-2016 18:52:37 from web application
$ Data source: nrcs
$ Data type: Air Temperature Minimum (degF)
$ 
$ Symbol for missing data = -999.0 
$ Symbol for accumulated data = -998.0 
$ 
datacard       TEMP DEGF 24   WA1159          Gold Axe Camp
WA1159      1000  16   -999.00
WA1159      1000  17   -999.00
WA1159      1000  18   -999.00
WA1159      1000  19   -999.00
WA1159      1000  20   -999.00
WA1159      1000  21   -999.00
WA1159      1000  22   -999.00
WA1159      1000  23   -999.00
WA1159      1000  24   -999.00
WA1159      1000  25   -999.00
WA1159      1000  26   -999.00
WA1159      1000  27   -999.00
WA1159      1000  28   -999.00
WA1159      1000  29   -999.00
WA1159      1000  30   -999.00
WA1159      1000  31   -999.00
WA1159      1100   1   -999.00
WA1159      1100   2   -999.00
WA1159      1100   3   -999.00
WA1159      1100   4   -999.00
WA1159      1100   5   -999.00
WA1159      1100   6   -999.00
WA1159      1100   7   -999.00
WA1159      1100   8   -999.00
WA1159      1100   9   -999.00
WA1159      1100  10   -999.00
WA1159      1100  11   -999.00
WA1159      1100  12   -999.00
WA1159      1100  13   -999.00
WA1159      1100  14   -999.00
WA1159      1100  15   -999.00
WA1159      1100  16   -999.00
WA1159      1100  17   -999.00
WA1159      1100  18   -999.00
WA1159      1100  19   -999.00
WA1159      1100  20   -999.00
WA1159      1100  21   -999.00
WA1159      1100  22   -999.00
WA1159      1100  23   -999.00
WA1159      1100  24   -999.00
WA1159      1100  25   -999.00
WA1159      1100  26   -999.00
WA1159      1100  27   -999.00
WA1159      1100  28   -999.00
WA1159      1100  29   -999.00
WA1159      1100  30   -999.00
WA1159      1200   1   -999.00
WA1159      1200   2   -999.00
WA1159      1200   3   -999.00
WA1159      1200   4   -999.00
WA1159      1200   5   -999.00
WA1159      1200   6   -999.00
WA1159      1200   7   -999.00
WA1159      1200   8   -999.00
WA1159      1200   9   -999.00
WA1159      1200  10   -999.00
WA1159      1200  11   -999.00
WA1159      1200  12   -999.00
WA1159      1200  13   -999.00
WA1159      1200  14   -999.00
WA1159      1200  15   -999.00
WA1159      1200  16   -999.00
WA1159      1200  17   -999.00
WA1159      1200  18   -999.00
WA1159      1200  19   -999.00
WA1159      1200  20   -999.00
WA1159      1200  21   -999.00
WA1159      1200  22   -999.00
WA1159      1200  23   -999.00
WA1159      1200  24   -999.00
WA1159      1200  25   -999.00
WA1159      1200  26   -999.00
WA1159      1200  27   -999.00
WA1159      1200  28   -999.00
WA1159      1200  29   -999.00
WA1159      1200  30   -999.00
WA1159      1200  31   -999.00
WA1159      0101   1   -999.00
WA1159      0101   2   -999.00
WA1159      0101   3   -999.00
WA1159      0101   4   -999.00
WA1159      0101   5   -999.00
WA1159      0101   6   -999.00
WA1159      0101   7   -999.00
WA1159      0101   8   -999.00
WA1159      0101   9   -999.00
WA1159      0101  10   -999.00
WA1159      0101  11   -999.00
WA1159      0101  12   -999.00
WA1159      0101  13   -999.00
WA1159      0101  14   -999.00
WA1159      0101  15   -999.00
WA1159      0101  16   -999.00
WA1159      0101  17   -999.00
WA1159      0101  18   -999.00
WA1159      0101  19   -999.00
WA1159      0101  20   -999.00
WA1159      0101  21   -999.00
WA1159      0101  22   -999.00
WA1159      0101  23   -999.00
WA1159      0101  24   -999.00
WA1159      0101  25   -999.00
WA1159      0101  26   -999.00
WA1159      0101  27   -999.00
WA1159      0101  28   -999.00
WA1159      0101  29   -999.00
WA1159      0101  30   -999.00
WA1159      0101  31   -999.00
WA1159      0201   1   -999.00
WA1159      0201   2   -999.00
WA1159      0201   3   -999.00
WA1159      0201   4   -999.00
WA1159      0201   5   -999.00
WA1159      0201   6   -999.00
WA1159      0201   7   -999.00
WA1159      0201   8   -999.00
WA1159      0201   9   -999.00
WA1159      0201  10   -999.00
WA1159      0201  11   -999.00
WA1159      0201  12   -999.00
WA1159      0201  13   -999.00
WA1159      0201  14   -999.00
WA1159      0201  15   -999.00
WA1159      0201  16   -999.00
WA1159      0201  17   -999.00
WA1159      0201  18   -999.00
WA1159      0201  19   -999.00
WA1159      0201  20   -999.00
WA1159      0201  21   -999.00
WA1159      0201  22   -999.00
WA1159      0201  23   -999.00
WA1159      0201  24   -999.00
WA1159      0201  25   -999.00
WA1159      0201  26   -999.00
WA1159      0201  27   -999.00
WA1159      0201  28   -999.00
WA1159      0301   1   -999.00
WA1159      0301   2   -999.00
WA1159      0301   3   -999.00
WA1159      0301   4   -999.00
WA1159      0301   5   -999.00
WA1159      0301   6   -999.00
WA1159      0301   7   -999.00
WA1159      0301   8   -999.00
WA1159      0301   9   -999.00
WA1159      0301  10   -999.00
WA1159      0301  11   -999.00
WA1159      0301  12   -999.00
WA1159      0301  13   -999.00
WA1159      0301  14   -999.00
WA1159      0301  15   -999.00
WA1159      0301  16   -999.00
WA1159      0301  17   -999.00
WA1159      0301  18   -999.00
WA1159      0301  19   -999.00
WA1159      0301  20   -999.00
WA1159      0301  21   -999.00
WA1159      0301  22   -999.00
WA1159      0301  23   -999.00
WA1159      0301  24   -999.00
WA1159      0301  25   -999.00
WA1159      0301  26   -999.00
WA1159      0301  27   -999.00
WA1159      0301  28   -999.00
WA1159      0301  29   -999.00
WA1159      0301  30   -999.00
WA1159      0301  31   -999.00
WA1159      0401   1   -999.00
WA1159      0401   2   -999.00
WA1159      0401   3   -999.00
WA1159      0401   4   -999.00
WA1159      0401   5   -999.00
WA1159      0401   6   -999.00
WA1159      0401   7   -999.00
WA1159      0401   8   -999.00
WA1159      0401   9   -999.00
WA1159      0401  10   -999.00
WA1159      0401  11   -999.00
WA1159      0401  12   -999.00
WA1159      0401  13   -999.00
WA1159      0401  14   -999.00
WA1159      0401  15   -999.00
WA1159      0401  16   -999.00
WA1159      0401  17   -999.00
WA1159      0401  18   -999.00
WA1159      0401  19   -999.00
WA1159      0401  20   -999.00
WA1159      0401  21   -999.00
WA1159      0401  22   -999.00
WA1159      0401  23   -999.00
WA1159      0401  24   -999.00
WA1159      0401  25   -999.00
WA1159      0401  26   -999.00
WA1159      0401  27   -999.00
WA1159      0401  28   -999.00
WA1159      0401  29   -999.00
WA1159      0401  30   -999.00
WA1159      0501   1   -999.00
WA1159      0501   2   -999.00
WA1159      0501   3   -999.00
WA1159      0501   4   -999.00
WA1159      0501   5   -999.00
WA1159      0501   6   -999.00
WA1159      0501   7   -999.00
WA1159      0501   8   -999.00
WA1159      0501   9   -999.00
WA1159      0501  10   -999.00
WA1159      0501  11   -999.00
WA1159      0501  12   -999.00
WA1159      0501  13   -999.00
WA1159      0501  14   -999.00
WA1159      0501  15   -999.00
WA1159      0501  16   -999.00
WA1159      0501  17   -999.00
WA1159      0501  18   -999.00
WA1159      0501  19   -999.00
WA1159      0501  20   -999.00
WA1159      0501  21   -999.00
WA1159      0501  22   -999.00
WA1159      0501  23   -999.00
WA1159      0501  24   -999.00
WA1159      0501  25   -999.00
WA1159      0501  26   -999.00
WA1159      0501  27   -999.00
WA1159      0501  28   -999.00
WA1159      0501  29   -999.00
WA1159      0501  30   -999.00
WA1159      0501  31   -999.00
WA1159      0601   1   -999.00
WA1159      0601   2   -999.00
WA1159      0601   3   -999.00
WA1159      0601   4   -999.00
WA1159      0601   5   -999.00
WA1159      0601   6   -999.00
WA1159      0601   7   -999.00
WA1159      0601   8   -999.00
WA1159      0601   9   -999.00
WA1159      0601  10   -999.00
WA1159      0601  11   -999.00
WA1159      0601  12   -999.00
WA1159      0601  13   -999.00
WA1159      0601  14   -999.00
WA1159      0601  15   -999.00
WA1159      0601  16   -999.00
WA1159      0601  17   -999.00
WA1159      0601  18   -999.00
WA1159      0601  19   -999.00
WA1159      0601  20   -999.00
WA1159      0601  21   -999.00
WA1159      0601  22   -999.00
WA1159      0601  23   -999.00
WA1159      0601  24   -999.00
WA1159      0601  25   -999.00
WA1159      0601  26   -999.00
WA1159      0601  27   -999.00
WA1159      0601  28   -999.00
WA1159      0601  29   -999.00
WA1159      0601  30   -999.00
WA1159      0701   1   -999.00
WA1159      0701   2   -999.00
WA1159      0701   3   -999.00
WA1159      0701   4   -999.00
WA1159      0701   5   -999.00
WA1159      0701   6   -999.00
WA1159      0701   7   -999.00
WA1159      0701   8   -999.00
WA1159      0701   9   -999.00
WA1159      0701  10   -999.00
WA1159      0701  11   -999.00
WA1159      0701  12   -999.00
WA1159      0701  13   -999.00
WA1159      0701  14   -999.00
WA1159      0701  15   -999.00
WA1159      0701  16   -999.00
WA1159      0701  17   -999.00
WA1159      0701  18   -999.00
WA1159      0701  19   -999.00
WA1159      0701  20   -999.00
WA1159      0701  21   -999.00
WA1159      0701  22   -999.00
WA1159      0701  23   -999.00
WA1159      0701  24   -999.00
WA1159      0701  25   -999.00
WA1159      0701  26   -999.00
WA1159      0701  27   -999.00
WA1159      0701  28   -999.00
WA1159      0701  29   -999.00
WA1159      0701  30   -999.00
WA1159      0701  31   -999.00
WA1159      0801   1   -999.00
WA1159      0801   2   -999.00
WA1159      0801   3   -999.00
WA1159      0801   4   -999.00
WA1159      0801   5   -999.00
WA1159      0801   6   -999.00
WA1159      0801   7   -999.00
WA1159      0801   8   -999.00
WA1159      0801   9   -999.00
WA1159      0801  10   -999.00
WA1159      0801  11   -999.00
WA1159      0801  12   -999.00
WA1159      0801  13   -999.00
WA1159      0801  14   -999.00
WA1159      0801  15   -999.00
WA1159      0801  16   -999.00
WA1159      0801  17   -999.00
WA1159      0801  18   -999.00
WA1159      0801  19   -999.00
WA1159      0801  20   -999.00
WA1159      0801  21   -999.00
WA1159      0801  22   -999.00
WA1159      0801  23   -999.00
WA1159      0801  24   -999.00
WA1159      0801  25   -999.00
WA1159      0801  26   -999.00
WA1159      0801  27   -999.00
WA1159      0801  28   -999.00
WA1159      0801  29   -999.00
WA1159      0801  30   -999.00
WA1159      0801  31   -999.00
WA1159      0901   1   -999.00
WA1159      0901   2   -999.00
WA1159      0901   3   -999.00
WA1159      0901   4   -999.00
WA1159      0901   5   -999.00
WA1159      0901   6   -999.00
WA1159      0901   7   -999.00
WA1159      0901   8   -999.00
WA1159      0901   9   -999.00
WA1159      0901  10   -999.00
WA1159      0901  11   -999.00
WA1159      0901  12   -999.00
WA1159      0901  13   -999.00
WA1159      0901  14   -999.00
WA1159      0901  15   -999.00
WA1159      0901  16   -999.00
WA1159      0901  17   -999.00
WA1159      0901  18   -999.00
WA1159      0901  19   -999.00
WA1159      0901  20   -999.00
WA1159      0901  21   -999.00
WA1159      0901  22   -999.00
WA1159      0901  23   -999.00
WA1159      0901  24   -999.00
WA1159      0901  25   -999.00
WA1159      0901  26   -999.00
WA1159      0901  27   -999.00
WA1159      0901  28   -999.00
WA1159      0901  29   -999.00
WA1159      0901  30   -999.00
WA1159      1001   1   -999.00
WA1159      1001   2   -999.00
WA1159      1001   3   -999.00
WA1159      1001   4   -999.00
WA1159      1001   5   -999.00
WA1159      1001   6   -999.00
WA1159      1001   7   -999.00
WA1159      1001   8   -999.00
WA1159      1001   9   -999.00
WA1159      1001  10   -999.00
WA1159      1001  11   -999.00
WA1159      1001  12   -999.00
WA1159      1001  13   -999.00
WA1159      1001  14   -999.00
WA1159      1001  15   -999.00
WA1159      1001  16   -999.00
WA1159      1001  17   -999.00
WA1159      1001  18   -999.00
WA1159      1001  19   -999.00
WA1159      1001  20   -999.00
WA1159      1001  21   -999.00
WA1159      1001  22   -999.00
WA1159      1001  23   -999.00
WA1159      1001  24   -999.00
WA1159      1001  25   -999.00
WA1159      1001  26   -999.00
WA1159      1001  27   -999.00
WA1159      1001  28   -999.00
WA1159      1001  29   -999.00
WA1159      1001  30   -999.00
WA1159      1001  31   -999.00
WA1159      1101   1   -999.00
WA1159      1101   2   -999.00
WA1159      1101   3   -999.00
WA1159      1101   4   -999.00
WA1159      1101   5   -999.00
WA1159      1101   6   -999.00
WA1159      1101   7   -999.00
WA1159      1101   8   -999.00
WA1159      1101   9   -999.00
WA1159      1101  10   -999.00
WA1159      1101  11   -999.00
WA1159      1101  12   -999.00
WA1159      1101  13   -999.00
WA1159      1101  14   -999.00
WA1159      1101  15   -999.00
WA1159      1101  16   -999.00
WA1159      1101  17   -999.00
WA1159      1101  18   -999.00
WA1159      1101  19   -999.00
WA1159      1101  20   -999.00
WA1159      1101  21   -999.00
WA1159      1101  22   -999.00
WA1159      1101  23   -999.00
WA1159      1101  24   -999.00
WA1159      1101  25   -999.00
WA1159      1101  26   -999.00
WA1159      1101  27   -999.00
WA1159      1101  28   -999.00
WA1159      1101  29   -999.00
WA1159      1101  30   -999.00
WA1159      1201   1   -999.00
WA1159      1201   2   -999.00
WA1159      1201   3   -999.00
WA1159      1201   4   -999.00
WA1159      1201   5   -999.00
WA1159      1201   6   -999.00
WA1159      1201   7   -999.00
WA1159      1201   8   -999.00
WA1159      1201   9   -999.00
WA1159      1201  10   -999.00
WA1159      1201  11   -999.00
WA1159      1201  12   -999.00
WA1159      1201  13   -999.00
WA1159      1201  14   -999.00
WA1159      1201  15   -999.00
WA1159      1201  16   -999.00
WA1159      1201  17   -999.00
WA1159      1201  18   -999.00
WA1159      1201  19   -999.00
WA1159      1201  20   -999.00
WA1159      1201  21   -999.00
WA1159      1201  22   -999.00
WA1159      1201  23   -999.00
WA1159      1201  24   -999.00
WA1159      1201  25   -999.00
WA1159      1201  26   -999.00
WA1159      1201  27   -999.00
WA1159      1201  28   -999.00
WA1159      1201  29   -999.00
WA1159      1201  30   -999.00
WA1159      1201  31   -999.00
WA1159      0102   1   -999.00
WA1159      0102   2   -999.00
WA1159      0102   3   -999.00
WA1159      0102   4   -999.00
WA1159      0102   5   -999.00
WA1159      0102   6   -999.00
WA1159      0102   7   -999.00
WA1159      0102   8   -999.00
WA1159      0102   9   -999.00
WA1159      0102  10   -999.00
WA1159      0102  11   -999.00
WA1159      0102  12   -999.00
WA1159      0102  13   -999.00
WA1159      0102  14   -999.00
WA1159      0102  15   -999.00
WA1159      0102  16   -999.00
WA1159      0102  17   -999.00
WA1159      0102  18   -999.00
WA1159      0102  19   -999.00
WA1159      0102  20   -999.00
WA1159      0102  21   -999.00
WA1159      0102  22   -999.00
WA1159      0102  23   -999.00
WA1159      0102  24   -999.00
WA1159      0102  25   -999.00
WA1159      0102  26   -999.00
WA1159      0102  27   -999.00
WA1159      0102  28   -999.00
WA1159      0102  29   -999.00
WA1159      0102  30   -999.00
WA1159      0102  31   -999.00
WA1159      0202   1   -999.00
WA1159      0202   2   -999.00
WA1159      0202   3   -999.00
WA1159      0202   4   -999.00
WA1159      0202   5   -999.00
WA1159      0202   6   -999.00
WA1159      0202   7   -999.00
WA1159      0202   8   -999.00
WA1159      0202   9   -999.00
WA1159      0202  10   -999.00
WA1159      0202  11   -999.00
WA1159      0202  12   -999.00
WA1159      0202  13   -999.00
WA1159      0202  14   -999.00
WA1159      0202  15   -999.00
WA1159      0202  16   -999.00
WA1159      0202  17   -999.00
WA1159      0202  18   -999.00
WA1159      0202  19   -999.00
WA1159      0202  20   -999.00
WA1159      0202  21   -999.00
WA1159      0202  22   -999.00
WA1159      0202  23   -999.00
WA1159      0202  24   -999.00
WA1159      0202  25   -999.00
WA1159      0202  26   -999.00
WA1159      0202  27   -999.00
WA1159      0202  28   -999.00
WA1159      0302   1   -999.00
WA1159      0302   2   -999.00
WA1159      0302   3   -999.00
WA1159      0302   4   -999.00
WA1159      0302   5   -999.00
WA1159      0302   6   -999.00
WA1159      0302   7   -999.00
WA1159      0302   8   -999.00
WA1159      0302   9   -999.00
WA1159      0302  10   -999.00
WA1159      0302  11   -999.00
WA1159      0302  12   -999.00
WA1159      0302  13   -999.00
WA1159      0302  14   -999.00
WA1159      0302  15   -999.00
WA1159      0302  16   -999.00
WA1159      0302  17   -999.00
WA1159      0302  18   -999.00
WA1159      0302  19   -999.00
WA1159      0302  20   -999.00
WA1159      0302  21   -999.00
WA1159      0302  22   -999.00
WA1159      0302  23   -999.00
WA1159      0302  24   -999.00
WA1159      0302  25   -999.00
WA1159      0302  26   -999.00
WA1159      0302  27   -999.00
WA1159      0302  28   -999.00
WA1159      0302  29   -999.00
WA1159      0302  30   -999.00
WA1159      0302  31   -999.00
WA1159      0402   1   -999.00
WA1159      0402   2   -999.00
WA1159      0402   3   -999.00
WA1159      0402   4   -999.00
WA1159      0402   5   -999.00
WA1159      0402   6   -999.00
WA1159      0402   7   -999.00
WA1159      0402   8   -999.00
WA1159      0402   9   -999.00
WA1159      0402  10   -999.00
WA1159      0402  11   -999.00
WA1159      0402  12   -999.00
WA1159      0402  13   -999.00
WA1159      0402  14   -999.00
WA1159      0402  15   -999.00
WA1159      0402  16   -999.00
WA1159      0402  17   -999.00
WA1159      0402  18   -999.00
WA1159      0402  19   -999.00
WA1159      0402  20   -999.00
WA1159      0402  21   -999.00
WA1159      0402  22   -999.00
WA1159      0402  23   -999.00
WA1159      0402  24   -999.00
WA1159      0402  25   -999.00
WA1159      0402  26   -999.00
WA1159      0402  27   -999.00
WA1159      0402  28   -999.00
WA1159      0402  29   -999.00
WA1159      0402  30   -999.00
WA1159      0502   1   -999.00
WA1159      0502   2   -999.00
WA1159      0502   3   -999.00
WA1159      0502   4   -999.00
WA1159      0502   5   -999.00
WA1159      0502   6   -999.00
WA1159      0502   7   -999.00
WA1159      0502   8   -999.00
WA1159      0502   9   -999.00
WA1159      0502  10   -999.00
WA1159      0502  11   -999.00
WA1159      0502  12   -999.00
WA1159      0502  13   -999.00
WA1159      0502  14   -999.00
WA1159      0502  15   -999.00
WA1159      0502  16   -999.00
WA1159      0502  17   -999.00
WA1159      0502  18   -999.00
WA1159      0502  19   -999.00
WA1159      0502  20   -999.00
WA1159      0502  21   -999.00
WA1159      0502  22   -999.00
WA1159      0502  23   -999.00
WA1159      0502  24   -999.00
WA1159      0502  25   -999.00
WA1159      0502  26   -999.00
WA1159      0502  27   -999.00
WA1159      0502  28   -999.00
WA1159      0502  29   -999.00
WA1159      0502  30   -999.00
WA1159      0502  31   -999.00
WA1159      0602   1   -999.00
WA1159      0602   2   -999.00
WA1159      0602   3   -999.00
WA1159      0602   4   -999.00
WA1159      0602   5   -999.00
WA1159      0602   6   -999.00
WA1159      0602   7   -999.00
WA1159      0602   8   -999.00
WA1159      0602   9   -999.00
WA1159      0602  10   -999.00
WA1159      0602  11   -999.00
WA1159      0602  12   -999.00
WA1159      0602  13   -999.00
WA1159      0602  14   -999.00
WA1159      0602  15   -999.00
WA1159      0602  16   -999.00
WA1159      0602  17   -999.00
WA1159      0602  18   -999.00
WA1159      0602  19   -999.00
WA1159      0602  20   -999.00
WA1159      0602  21   -999.00
WA1159      0602  22   -999.00
WA1159      0602  23   -999.00
WA1159      0602  24   -999.00
WA1159      0602  25   -999.00
WA1159      0602  26   -999.00
WA1159      0602  27   -999.00
WA1159      0602  28   -999.00
WA1159      0602  29   -999.00
